61213649618,Tecnológico de Monterrey Campus Guadalajara,University,0.002522583
195923000000,Tec de Monterrey Campus Aguascalientes,Education,0.000722000
226131000000,Tec de Monterrey Campus San Luis,University,0.000712000
1500340000000000,Tec Review Web,Magazine,0.000562000
1781130000000000,"Ingeniero Mecánico Administrador TEC de Monterrey, Guadalajara",School,0.000134000
924215000000000,"Tecnológico de Monterrey, Campus Chiapas",Education,0.000333000
208967000000,Tecnológico de Monterrey en Toluca,Education,0.001274139
136659000000000,Sistema Nacional de Comunicación del Tecnológico de Monterrey,University,0.001921266
961766000000000,Festival de la Cultura y las Artes del Tecnológico de Monterrey,Education,0.000134000
458456000000000,PROTRASH,Community Organization,0.000211000
160968000000000,Borregos GDL,School Sports Team,0.000355000
119674000000000,Tochito y Americano en imagen,Camera/Photo,0.000134000
115103000000,El Informador,Media/News/Publishing,0.001413664
573553000000000,Yanic Gentry Sailing,Athlete,0.000208000
229697000000000,Prepa Tec Colima,Education,0.000316000
682465000000000,Escuela de Gobierno y Transformación Pública,Education,0.000754000
99158093147,Tec de Monterrey Campus Morelia,University,0.001439321
205095000000000,"Tecnológico de Monterrey, Campus Ciudad de México",Education,0.001821170
61506671531,Siddhartha,Musician/Band,0.001776416
131132000000000,Caloncho,Musician/Band,0.003948016
1444320000000000,Dr. Mario Adrián Flores,Public Figure,0.000203000
534912000000000,Yo por México,Non-Profit Organization,0.000269000
567207000000000,Grupos Estudiantiles Tec Guadalajara,Community,0.000390000
394319000000000,Biblioteca Itesm Campus Gda,Library,0.000222000
283049000000000,Salvador Alva,Public Figure,0.003876991
528583000000000,"Consejo Estudiantil, Tec Campus Guadalajara",Organization,0.000192000
543106000000000,Encuentro por México,Community,0.000246000
241867000000000,Tecnológico de Monterrey Campus Chihuahua,Education,0.001360829
34767149008,Tecnológico de Monterrey,University,0.007953691
24961338115,The Boston Consulting Group (BCG),Consulting/Business Service,0.000513000
1416080000000000,"Lic. en Diseño Industrial TEC de Monterrey, Guadalajara",School,0.000190000
165878000000,Tecnologico de Monterrey Campus Querétaro,University,0.001974071
226381000000000,Tecnológico de Monterrey Campus León,University,0.001387818
204000000000000,"Tecnológico de Monterrey, Campus Sinaloa",Education,0.000942000
309134000000000,Medicina - Tec Campus GDL,University,0.000547000
270578000000000,Prepa Tec Guadalajara,Education,0.000554000
380995000000000,Cumbre Empresarial 2012,Community,0.000159000
349031000000000,Congreso LED Guadalajara,Community,0.000222000
153044000000000,Simposio MedCare ITESM GDA,Community,0.000153000
176234000000000,Media Station,Organization,0.000154000
221461000000000,BiciTec,Community,0.000622000
165930000000000,Cena en la Oscuridad,Cause,0.000199000
119678000000000,Incubadoras Sociales,Education,0.001087800
235123000000000,Programas Internacionales - Prepa Tec GDL,Education,0.000247000
105496000000000,"Boris, el Borrego Salvaje",Public Figure,0.000184000
111205000000000,TecStore,Retail and Consumer Merchandise,0.000262000
228269000000000,RideTec,Community,0.000243000
117099000000000,Tec Campus GDL - Inscripciones,Education,0.000143000
127128000000000,Posgrados y Educación Ejecutiva del Tecnológico de Monterrey,University,0.002367191
260819000000000,Creación y Desarrollo de Empresas Campus GDL,Education,0.000328000
114477000000000,FEDEJAL,Non-Profit Organization,0.000552000
252862000000000,Pasión por la lectura,Education,0.001325098
253591000000,DAE Chihuahua,University,0.000510000
23200868598,Fernando Sierra,Public Figure,0.001471400
343343000000,Ciclovia ITESM Campus GDL,Amateur Sports Team,0.000197000
112837000000000,David Noel Ramírez Padilla,Public Figure,0.003297484
180256000000000,Pasión por la Lectura Campus Guadalajara,Education,0.000255000
16491263634,Incubadora de Empresas ITESM GDL,Product/Service,0.000286000
242977000000000,Carneros Guadalajara,Community Organization,0.000229000
206720000000000,Tecgdaseguro,Education,0.000179000
154466000000000,"Consejo Estudiantil 2011, Campus Guadalajara",Non-Profit Organization,0.000410000
214009000000,Teatro Diana,University,0.001670306
46152322794,Vivir Guadalajara,Society/Culture Website,0.000641000
123140000000000,holala.tv,Attractions/Things to Do,0.000134000
138172000000000,gruposprepa,Community,0.000771000
51491238316,"TECNOLÓGICO DE MONTERREY, Campus Monterrey",University,0.004005799
